;datatrimestre;valorPix;valorTED;valorTEC;valorCheque;valorBoleto;valorDOC;valorCartaoCredito;valorCartaoDebito;valorCartaoPrePago;valorTransIntrabancaria;valorConvenios;valorDebitoDireto;valorSaques;quantidadePix;quantidadeTED;quantidadeTEC;quantidadeCheque;quantidadeBoleto;quantidadeDOC;quantidadeCartaoCredito;quantidadeCartaoDebito;quantidadeCartaoPrePago;quantidadeTransIntrabancaria;quantidadeConvenios;quantidadeDebitoDireto;quantidadeSaques
13;2021-09-30;1556916220000,0;9257046280000,0;3684130000,0;271120340000,0;2001074000000,0;22306750000,0;399054110000,0;233970030000,0;33731830000,0;4380184500000,0;808629480000,0;586001770000,0;673720990000,0;2863336900,0;296200300,0;1790100,0;80110800,0;1493638200,0;27668000,0;3311505300,0;3526062900,0;1603852700,0;244008400,0;774410700,0;1765464800,0;918141500,0
14;2021-06-30;1105735200000,0;8566787270000,0;3894810000,0;264944310000,0;1839452360000,0;23158840000,0;344999680000,0;214381060000,0;26760540000,0;4171595710000,0;710453340000,0;604018430000,0;685333150000,0;1871563900,0;333917700,0;1879400,0;75418000,0;1431427400,0;28659400,0;2841992800,0;3141691400,0;1264916900,0;260756800,0;733937400,0;1709009800,0;924449900,0
15;2021-03-31;625046520000,0;7894414160000,0;4352440000,0;253527920000,0;1769759680000,0;21777700000,0;310412130000,0;204752910000,0;20327690000,0;3965203170000,0;728627480000,0;497283040000,0;673126600000,0;862337900,0;354171500,0;2181200,0;79409600,0;1386080600,0;31687400,0;2584404100,0;3005004600,0;1016901500,0;274419700,0;766141900,0;1704253800,0;926234000,0
16;2020-12-31;149894910000,0;8036705320000,0;5137420000,0;278295370000,0;1919100600000,0;38705140000,0;332987170000,0;258471490000,0;19923510000,0;4095052120000,0;719279590000,0;456624590000,0;765824470000,0;176206600,0;574879700,0;2549700,0;91594800,0;1472868800,0;58634400,0;2672666400,0;3483509400,0;1056946600,0000001;348828200,0;750242800,0;1700531600,0;1084574400,0
17;2020-09-30;0,0;7503982240000,0;4159600000,0;259334880000,0;1959819720000,0;52156840000,0;279176980000,0;228771890000,0;14809510000,0;3864293290000,0;620034560000,0;415448620000,0;723099800000,0;0,0;541157700,0;2024400,0;86966300,0;1389215600,0;74377900,0;2280096100,0;2957015600,0;795301800,0;338018300,0;776086000,0;1623252200,0;1009737700,0
18;2020-06-30;0,0;6267004160000,0;4647320000,0;237873120000,0;1366623210000,0;50881150000,0;224389540000,0;152246790000,0;8969460000,0;3619039330000,0;480987360000,0;440102050000,0;663932320000,0;0,0;381386500,0;2267300,0;85355100,0;1256812000,0;73763700,0;1907929100,0;2259584500,0;533545600,0;303062500,0;752351400,0;1542581400,0;934644900,0
19;2020-03-31;0,0;6652135130000,0;4829560000,0;318844920000,0;1526486760000,0;30628550000,0;275659090000,0;171399490000,0;8700250000,0;4138724780000,0;700965210000,0;481940350000,0;719800780000,0;0,0;329386200,0;2416500,0;115237800,0;1184510700,0;43503600,0;2492783100,0;2757914200,0;577500500,0;293996800,0;860763800,0;1522645000,0;1034925000,0
20;2019-12-31;0,0;6560042730000,0;6343770000,0;372693660000,0;1579497090000,0;37728790000,0;302888190000,0;193673010000,0;8940680000,0;3774510810000,0;709453520000,0;1179392450000,0;866834600000,0;0,0;324349900,0;3185000,0;134725800,0;1190397800,0;51756500,0;2681083100,0;3102433000,0;159510200,0;365515600,0;786763000,0;1459193700,0;1237366500,0
21;2019-09-30;0,0;6285701440000,0;5469660000,0;385735210000,0;1484836270000,0;39652790000,0;272414670000,0;164735630000,0;7803220000,0;3378209530000,0;713191480000,0;1172377680000,0;825956860000,0;0,0;276656100,0;2751400,0;138322700,0;1155112700,0;53387700,0;2516328000,0;2749305800,0;109323900,0;347495600,0;864138900,0;1514404900,0;1150223900,0
22;2019-06-30;0,0;5700739790000,0;5506270000,0;388525470000,0;1409618750000,0;34716550000,0;253161380000,0;153747190000,0;6572850000,0;3090737620000,0;677754240000,0;1009756110000,0;810157400000,0;0,0;232644200,0;2847700,0;138158900,0;1076813100,0;47739400,0;2324477300,0;2524775400,0;77904500,0;331095300,0;811802800,0;1418749200,0;1114642800,0
23;2019-03-31;0,0;5039380730000,0;4794820000,0;375916280000,0;1468066320000,0;35812800000,0;235435490000,0;151764670000,0;5019160000,0;2977140950000,0;922161770000,0;1096747510000,0;807704630000,0;0,0;199727300,0;2587900,0;139621200,0;1020583800,0;52449800,0;2081348800,0;2471245200,0;58847600,0;307650100,0;913784400,0;1381466700,0;1103906300,0
